name	search_text	ric	boost
Microsoft Corp	MSFT Microsoft Microsoft Corp Corporation	MSFT.OQ	100.0
Amazon.com Inc	AMZN Amazon.com Amazon.com Inc Amazon	AMZN.OQ	90.69479377
Apple Inc	AAPL Apple Apple Inc Apple Computers	AAPL.OQ	87.3757061
Alphabet Inc	GOOGL Alphabet Alphabet Inc Google	GOOGL.OQ	74.27296515
Facebook Inc	FB Facebook Facebook Inc	FB.OQ	50.99851453
Berkshire Hathaway Inc	BRK.A Berkshire Berkshire Hathaway Berkshire Hathaway Inc	BRKa.N	49.616410200000004
Johnson & Johnson	JNJ Johnson Johnson & Johnson & Johnson	JNJ.N	36.64716216
Visa Inc	V Visa Visa Inc	V.N	36.53147159
JPMorgan Chase & Co	JPM JPMorgan JPMorgan Chase JPMorgan Chase & JPMorgan Chase & Co JPMC JP Morgan	JPM.N	35.10089559
Exxon Mobil Corp	XOM Exxon Exxon Mobil Exxon Mobil Corp	XOM.N	30.99510908
Walmart Inc	WMT Walmart Walmart Inc	WMT.N	30.67811613
Procter & Gamble Co	PG Procter Procter & Procter & Gamble Procter & Gamble Co P&G	PG.N	27.482038899999996
Bank of America Corp	BAC Bank Bank of Bank of America Bank of America Corp BOA	BAC.N	26.26854365
Mastercard Inc	MA Mastercard Mastercard Inc	MA.N	25.87985545
Walt Disney Co	DIS Walt Walt Disney Walt Disney Co	DIS.N	25.1174743
Verizon Communications Inc	VZ Verizon Verizon Communications Verizon Communications Inc	VZ.N	23.74809623
Pfizer Inc	PFE Pfizer Pfizer Inc	PFE.N	23.42429281
AT&T Inc	T AT&T AT&T Inc Bell Labs	T.N	23.26149779
Cisco Systems Inc	CSCO Cisco Cisco Systems Cisco Systems Inc	CSCO.OQ	23.09201315
UnitedHealth Group Inc	UNH UnitedHealth UnitedHealth Group UnitedHealth Group Inc UHC	UNH.N	22.97531243
Chevron Corp	CVX Chevron Chevron Corp	CVX.N	22.67240487
Home Depot Inc	HD Home Home Depot Home Depot Inc	HD.N	22.30731063
Coca-Cola Co	KO Coca-Cola Coca-Cola Co Coca Cola	KO.N	21.56721737
Merck & Co Inc	MRK Merck Merck & Merck & Co Merck & Co Inc	MRK.N	20.99917387
Intel Corp	INTC Intel Intel Corp	INTC.OQ	20.37485787
Wells Fargo & Co	WFC Wells Wells Fargo Wells Fargo & Wells Fargo & Co	WFC.N	20.18809436
Boeing Co	BA Boeing Boeing Co	BA.N	19.24475661
Comcast Corp	CMCSA Comcast Comcast Corp	CMCSA.OQ	18.92094148
PepsiCo Inc	PEP PepsiCo PepsiCo Inc Pepsi	PEP.OQ	18.33248729
Oracle Corp	ORCL Oracle Oracle Corp	ORCL.N	17.94121458
Mcdonald's Corp	MCD Mcdonald's Mcdonald's Corp MACD BigMac	MCD.N	15.51129887
Citigroup Inc	C Citigroup Citigroup Inc Citi	C.N	15.37482865
Netflix Inc	NFLX Netflix Netflix Inc	NFLX.OQ	14.63502281
Abbott Laboratories	ABT Abbott Abbott Laboratories	ABT.N	14.29157881
PayPal Holdings Inc	PYPL PayPal PayPal Holdings PayPal Holdings Inc	PYPL.OQ	13.44827642
Adobe Inc	ADBE Adobe Adobe Inc	ADBE.OQ	13.18650894
Nike Inc	NKE Nike Nike Inc	NKE.N	12.92162647
Medtronic PLC	MDT Medtronic Medtronic PLC	MDT.N	12.8793806
Honeywell International Inc	HON Honeywell Honeywell International Honeywell International Inc	HON.N	12.39098588
Accenture PLC	ACN Accenture Accenture PLC	ACN.N	12.21919611
Philip Morris International Inc	PM Philip Philip Morris Philip Morris International Philip Morris International Inc	PM.N	11.83399505
International Business Machines Corp	IBM International International Business International Business Machines International Business Machines Corp	IBM.N	11.80658529
Union Pacific Corp	UNP Union Union Pacific Union Pacific Corp	UNP.N	11.64619281
Salesforce.Com Inc	CRM Salesforce.Com Salesforce.Com Inc	CRM.N	11.46942018
AbbVie Inc	ABBV AbbVie AbbVie Inc	ABBV.N	11.46175461
Costco Wholesale Corp	COST Costco Costco Wholesale Costco Wholesale Corp	COST.OQ	11.27269892
Thermo Fisher Scientific Inc	TMO Thermo Thermo Fisher Thermo Fisher Scientific Thermo Fisher Scientific Inc	TMO.N	11.24190531
Linde PLC	LIN Linde Linde PLC	LIN.N	10.840455
Eli Lilly and Co	LLY Eli Eli Lilly Eli Lilly and Eli Lilly and Co	LLY.N	10.68837727
United Technologies Corp	UTX United United Technologies United Technologies Corp	UTX.N	10.64546569
Amgen Inc	AMGN Amgen Amgen Inc	AMGN.OQ	10.58165509
Broadcom Inc	AVGO Broadcom Broadcom Inc Avago	AVGO.OQ	10.43014185
Starbucks Corp	SBUX Starbucks Starbucks Corp	SBUX.OQ	10.0529553
American Express Co	AXP American American Express American Express Co AMEX	AXP.N	10.03801234
Texas Instruments Inc	TXN Texas Texas Instruments Texas Instruments Inc TI	TXN.OQ	9.919687966
Danaher Corp	DHR Danaher Danaher Corp	DHR.N	9.849428775
Nextera Energy Inc	NEE Nextera Nextera Energy Nextera Energy Inc	NEE.N	9.766137321
Lockheed Martin Corp	LMT Lockheed Lockheed Martin Lockheed Martin Corp	LMT.N	9.747188585
3M Co	MMM 3M 3M Co	MMM.N	9.467017313
Altria Group Inc	MO Altria Altria Group Altria Group Inc	MO.N	9.375427349
American Tower Corp	AMT American American Tower American Tower Corp	AMT.N	9.199419541000001
General Electric Co	GE General General Electric General Electric Co	GE.N	8.79006102
Charter Communications Inc	CHTR Charter Charter Communications Charter Communications Inc	CHTR.OQ	8.690856477
NVIDIA Corp	NVDA NVIDIA NVIDIA Corp	NVDA.OQ	8.678911042000001
United Parcel Service Inc	UPS United United Parcel United Parcel Service United Parcel Service Inc	UPS.N	8.618240131
Gilead Sciences Inc	GILD Gilead Gilead Sciences Gilead Sciences Inc	GILD.OQ	8.313826297
U.S. Bancorp	USB U.S. U.S. Bancorp US Bancorp	USB.N	8.254113503
Qualcomm Inc	QCOM Qualcomm Qualcomm Inc	QCOM.OQ	8.231305395
Mondelez International Inc	MDLZ Mondelez Mondelez International Mondelez International Inc	MDLZ.OQ	7.812872776
Lowe's Companies Inc	LOW Lowe's Lowe's Companies Lowe's Companies Inc	LOW.N	7.685375624
Bristol-Myers Squibb Co	BMY Bristol-Myers Bristol-Myers Squibb Bristol-Myers Squibb Co Bristol Myers	BMY.N	7.664989564
Booking Holdings Inc	BKNG Booking Booking Holdings Booking Holdings Inc	BKNG.OQ	7.573232443999999
Anthem Inc	ANTM Anthem Anthem Inc	ANTM.N	7.230285697999999
Uber Technologies Inc	UBER Uber Uber Technologies Uber Technologies Inc	UBER.N	7.221976476
Stryker Corp	SYK Stryker Stryker Corp	SYK.N	7.1993064129999995
Caterpillar Inc	CAT Caterpillar Caterpillar Inc	CAT.N	7.168867897
Automatic Data Processing Inc	ADP Automatic Automatic Data Automatic Data Processing Automatic Data Processing Inc	ADP.OQ	7.0987118229999995
Morgan Stanley	MS Morgan Morgan Stanley	MS.N	7.097293147999999
CME Group Inc	CME CME CME Group CME Group Inc	CME.OQ	6.951765426000001
CVS Health Corp	CVS CVS CVS Health CVS Health Corp	CVS.N	6.933592416000001
